Massnahme;Produktbezeichnung;Einheit.Produkt;Lohnkosten Fr./AE;Spezial ja/nein;Bemerkungen;;;
Aussaat Hauptkultur;Winterraps, Saatgut gebeizt Visby;Dose;150;0;;;;
Aussaat Hauptkultur;Colza, semences traitée;Dose;150;0;;;;
Aussaat Hauptkultur;Colza, semences traitées V141OL;Dose;150;0;;;;
Aussaat Hauptkultur;Grasmischung UFA 430;g;150;0;;;;
Aussaat Hauptkultur;Winterraps, Visby;Dose;150;0;;;;
Aussaat Hauptkultur;Budera;Dose;150;0;;;;
Aussaat Hauptkultur;Kürbisse Diverse;Stk.;150;0;;;;
Aussaat Hauptkultur;Semence de tournesol HO LG 5450;Dose;150;0;;;;
Aussaat Hauptkultur;Winterraps, Saatgut gebeizt (Dosen);Dose;150;0;;;;
Aussaat Hauptkultur;Chicorée, semences;1000 Stk.;150;0;;;;
Aussaat Hauptkultur;Eigenes Produkt...;Stk.;150;0;;;;
Aussaat Hauptkultur;TMTD 98% Satec;g;150;0;;;;
Aussaat Hauptkultur;Zwiebeln Lornzos;Dose;150;0;;;;
Aussaat Hauptkultur;Carotte, semence bio;1000 Stk.;150;0;;;;
Aussaat Hauptkultur;Randen, Samen gelb;1000 Stk.;150;0;;;;
Aussaat Hauptkultur;Soja, semences non traitées;Dose;150;0;;;;
Aussaat Hauptkultur;Sonnenblumen LG 54.50 HIGH OLEIC;Dose;150;0;;;;
Aussaat Hauptkultur;Winterraps, Saatgut gebeizt AVATAR;Dose;150;0;;;;
Aussaat Hauptkultur;Cichorien Treib-, Samen;1000 Stk.;150;0;;;;
Aussaat Hauptkultur;Colza;Dose;150;0;;;;
Aussaat Hauptkultur;Delitop;Dose;150;0;;;;
Aussaat Hauptkultur;Modesto;ml;150;0;;;;
Aussaat Hauptkultur;Randen, Samen;1000 Stk.;150;0;;;;
Aussaat Hauptkultur;Soja, Saatgut ungebeizt;Dose;150;0;;;;
Aussaat Hauptkultur;Sonnenblumen LG 53.80;Dose;150;0;;;;
Aussaat Hauptkultur;Winterraps Visby, Saatgut gebeizt;Dose;150;0;;;;
Aussaat Hauptkultur;Winterraps, DK Cosmos;Dose;150;0;;;;
Aussaat Hauptkultur;Winterraps, Holl V280 OL;Dose;150;0;;;;
Aussaat Hauptkultur;Winterraps, Saatgut gebeizt, Vispy;Dose;150;0;;;;
Aussaat Hauptkultur;Zwiebeln Red Wing;Dose;150;0;;;;
Aussaat Hauptkultur;Zwiebeln Yankee;Dose;150;0;;;;
Aussaat Hauptkultur;;;150;0;;;;
Aussaat Hauptkultur;Blé d'automne, semences traitées;dt;150;0;;;;
Aussaat Hauptkultur;Coral extra;l;150;0;;;;
Aussaat Hauptkultur;Wintertriticale, Saatgut gebeizt;dt;150;0;;;;
Aussaat Hauptkultur;Beizmittel unbekannt;;150;0;;;;
Aussaat Hauptkultur;Standardmischung 330 (3-jährig);kg;150;0;;;;
Aussaat Hauptkultur;Standardmischung 440 (längerdauernd, raigrasfähige Lagen);kg;150;0;;;;
Aussaat Hauptkultur;Colza, semences traitées (cormoran);Dose;150;0;;;;
Aussaat Hauptkultur;Winterkorn, Saatgut gebeizt;dt;150;0;;;;
Aussaat Hauptkultur;Orge d'automne, semences traitées;dt;150;0;;;;
Aussaat Hauptkultur;Mesurol flüssig;l;150;0;;;;
Aussaat Hauptkultur;Winterweizen, Saatgut komb. Gebeizt;dt;150;0;;;;
Aussaat Hauptkultur;Winterraps, Saatgut gebeizt;kg;150;0;;;;
Aussaat Hauptkultur;Fabregas;Stk.;150;0;;;;
Aussaat Hauptkultur;Tournesol, semences traitées;kg;150;0;;;;
Aussaat Hauptkultur;Standardmischung 430 (längerdauernd, raigrasfähige Lagen);kg;150;0;;;;
Aussaat Hauptkultur;Karotten Bolero, Bio-Saatgut;1000 Stk.;150;0;;;;
Aussaat Hauptkultur;Chinook;l;150;0;;;;
Aussaat Hauptkultur;Mélange standard 330 (3 ans);kg;150;0;;;;
Aussaat Hauptkultur;Lapridora;Stk.;150;0;;;;
Aussaat Hauptkultur;LG 30.22;Dose;150;0;;;;
Aussaat Hauptkultur;Winterweizen, Biosaatgut ungebeizt;dt;150;0;;;;
Aussaat Hauptkultur;Erbsen, Körner;kg;150;0;;;;
Aussaat Hauptkultur;Blé d'automne, semences trait. combiné;dt;150;0;;;;
Aussaat Hauptkultur;Milesium;Dose;150;0;;;;
Aussaat Hauptkultur;Sonnenblumen, Saatgut gebeizt;kg;150;0;;;;
Aussaat Hauptkultur;Standardmischung 323 (3-jährig);kg;150;0;;;;
Aussaat Hauptkultur;Colza, semences traitées;kg;150;0;;;;
Aussaat Hauptkultur;Sommerweizen, Saatgut gebeizt;dt;150;0;;;;
Aussaat Hauptkultur;Wintergerste, Saatgut;dt;150;0;;;;
Aussaat Hauptkultur;Robbos;Dose;150;0;;;;
Aussaat Hauptkultur;Robinson, monogerm pilliert, mit Gaucho;Dose;150;0;;;;
Aussaat Hauptkultur;Sommer-Eiweisserbsen, Saatgut gebeizt;dt;150;0;;;;
Aussaat Hauptkultur;Sommerhafer, Saatgut ungebeizt;dt;150;0;;;;
Aussaat Hauptkultur;Winterraps, Saatgut gebeizt (kg);kg;150;0;;;;
Aussaat Hauptkultur;Bohnen, Verarbeitung-, Samen;kg;150;0;;;;
Aussaat Hauptkultur;Levis;dt;150;0;;;;
Aussaat Hauptkultur;Pois protéagineux de printemps, semences traitées;dt;150;0;;;;
Aussaat Hauptkultur;Orge d'automne;dt;150;0;;;;
Aussaat Hauptkultur;Orge de printemps, semences non traitées;dt;150;0;;;;
Aussaat Hauptkultur;Blé d'automne, semences non traitées;dt;150;0;;;;
Aussaat Hauptkultur;Übersaatenmischung 440;kg;150;0;;;;
Aussaat Hauptkultur;Standardmischung 240 (2- bis 3-jährig);kg;150;0;;;;
Aussaat Hauptkultur;Smaragd;ml;150;0;;;;
Aussaat Hauptkultur;Triticale, semences traitées;dt;150;0;;;;
Aussaat Hauptkultur;Plant de pomme de terre, petit;dt;150;0;;;;
Aussaat Hauptkultur;Standardmischung 106 (einjährig);kg;150;0;;;;
Aussaat Hauptkultur;Spargel Grün, Setzling;100 Stk.;150;0;;;;
Aussaat Hauptkultur;Sommergerste, Saatgut ungebeizt;dt;150;0;;;;
Aussaat Hauptkultur;Standardmischung 210 (2-jährig);kg;150;0;;;;
Aussaat Hauptkultur;Steffen Turbo 4400;Stk.;150;0;;;;
Aussaat Hauptkultur;Swiss Highspeed;Stk.;150;0;;;;
Aussaat Hauptkultur;Apron XL;l;150;0;;;;
Aussaat Hauptkultur;Avoine de printemps, semences traitées;dt;150;0;;;;
Aussaat Hauptkultur;Spinat, Samen;kg;150;0;;;;
Aussaat Hauptkultur;Standardmischung 340 (3-jährig);kg;150;0;;;;
Aussaat Hauptkultur;Buntbrache Grundversion;kg;150;0;;;;
Aussaat Hauptkultur;Mélange standard 440 (longue durée);kg;150;0;;;;
Aussaat Hauptkultur;Standardmischung 200 (2-jährig);kg;150;0;;;;
Aussaat Hauptkultur;Winterkorn, Biosaatgut ungebeizt;dt;150;0;;;;
Aussaat Hauptkultur;Wintergerste Hobbit;Dose;150;0;;;;
Aussaat Hauptkultur;Blé d'automne Runal;dt;150;0;;;;
Aussaat Hauptkultur;Mélange standard 330 M(3 ans);kg;150;0;;;;
Aussaat Hauptkultur;Mélange standard 430 (longue durée);kg;150;0;;;;
Aussaat Hauptkultur;Sommerweizen, Saatgut ungebeizt;dt;150;0;;;;
Aussaat Hauptkultur;Standardmischung Salvia (extensive Nutzungen);kg;150;0;;;;
Aussaat Hauptkultur;Winterraps Hollraps, Saatgut gebeizt;Dose;150;0;;;;
Aussaat Hauptkultur;Winterraps Talent;Dose;150;0;;;;
Aussaat Hauptkultur;Thiram 80;kg;150;0;;;;
Aussaat Hauptkultur;Winterraps, V141OL (Holl);Dose;150;0;;;;
Aussaat Hauptkultur;Winter-Eiweisserbsen, Saatgut gebeizt;dt;150;0;;;;
Aussaat Hauptkultur;Winterroggen, Hybridsaatgut;dt;150;0;;;;
Aussaat Hauptkultur;Winterweizen, Nara;dt;150;0;;;;
Aussaat Hauptkultur;Winterweizen, Saatgut Arina;dt;150;0;;;;
Aussaat Hauptkultur;Futterweizen Mulan;dt;150;0;;;;
